[00:00:00 --> 00:00:02]  Здравствуйте, дорогие друзья!
[00:41:51 --> 00:41:53]  А камера у нас сколько стоят на москолько.
[00:41:53 --> 00:41:55]  40-50 самое.
[00:41:55 --> 00:41:57]  И самое удобное.
[00:41:57 --> 00:41:59]  С которой смело можно начинать.
[00:41:59 --> 00:42:03]  Соответственно, два месяца, два с половиной 3 месяца,
[00:42:03 --> 00:42:05]  у вас полностью камера купается.
[00:42:05 --> 00:42:08]  Это при самом слабом таком раскладе.
[00:42:08 --> 00:42:15]  Да, да, реально аппетитый растут быстро.
[00:42:15 --> 00:42:18]  Фантазии растут еще быстрее.
[00:42:18 --> 00:42:20]  Можно я остальное не буду.
[00:42:20 --> 00:42:22]  Можно.
[00:42:22 --> 00:42:23]  Все мы так.
[00:42:23 --> 00:42:25]  В уликале чуть-чуть людей.
[00:42:25 --> 00:42:27]  А дальше тут куча растут.
[00:42:27 --> 00:42:30]  Фантазии растут быстро.
[00:42:30 --> 00:42:33]  Соответственно, это все можно процесускорить.
[00:42:33 --> 00:42:35]  И так далее.
[00:42:36 --> 00:42:39]  А есть зубочистки или какие-нибудь иголочки,
[00:42:39 --> 00:42:42]  чтобы мы вытащить воздух отсюда.
[00:42:42 --> 00:42:44]  Так, мы делаем в воздух.
[00:42:46 --> 00:42:47]  А зачем мы это делаем, Кать?
[00:42:47 --> 00:42:50]  Ну надо убрать воздух и уплотнить фарш,
[00:42:50 --> 00:42:54]  чтобы не было у нас пузырей с бульоном.
[00:42:54 --> 00:42:56]  Вообще, у вас ваше ваше ваше.
[00:42:56 --> 00:43:01]  У меня нужно большая доска.
[00:43:01 --> 00:43:03]  Или какой-нибудь поддончик.
[00:43:03 --> 00:43:05]  Начем будем вязать?
[00:43:07 --> 00:43:08]  Так.
[00:43:08 --> 00:43:11]  И дальше начинаем вязать.
[00:43:11 --> 00:43:13]  Вот как вяжем.
[00:43:13 --> 00:43:16]  При вязке мы как раз уплотняем.
[00:43:16 --> 00:43:18]  Это оболочка свиная.
[00:43:18 --> 00:43:21]  Она очень прочная, эластичная.
[00:43:21 --> 00:43:24]  И в то же время она хорошо вяжется.
[00:43:24 --> 00:43:28]  Если мы делаем вот так, я делаю тройной.
[00:43:28 --> 00:43:32]  То она не разъезжается.
[00:43:32 --> 00:43:35]  Есть проблемы, многие не могут связать колбасу,
[00:43:35 --> 00:43:37]  потому что она оболочка скольская.
[00:43:37 --> 00:43:40]  И у зелок начинает саскользовать и развязываться.
[00:43:40 --> 00:43:42]  Тогда можно использовать пагат еще.
[00:43:42 --> 00:43:45]  Можно сделать петельку и шпагата.
[00:43:45 --> 00:43:47]  Это лучше.
[00:43:47 --> 00:43:48]  Это лучше.
[00:43:48 --> 00:43:49]  Но это лучше.
[00:43:49 --> 00:43:52]  Но на начальных этапах пока вы не прилавчились.
[00:43:52 --> 00:43:54]  То есть вот так и подвесим.
[00:43:54 --> 00:43:56]  Потом она уже никуда не денется.
[00:43:58 --> 00:44:09]  ДИНАМИЧНАЯ МУЗЫКА
[00:44:09 --> 00:44:14]  Меня тоже руки скользят немножко уже отжиренности.
[00:44:14 --> 00:44:18]  Тут тоже по поводу вентабельности и количество денег,
[00:44:18 --> 00:44:21]  которые можно заработать на одном килограмме.
[00:44:21 --> 00:44:23]  В Магоре протриструблеты.
[00:44:23 --> 00:44:24]  Вот так же два узелка.
[00:44:24 --> 00:44:25]  И вот так же.
[00:44:25 --> 00:44:27]  Триструблеты мы зарабатываем.
[00:44:27 --> 00:44:30]  Если мы продаем конечному клиенту.
[00:44:30 --> 00:44:32]  Если мы продаем конечному клиенту,
[00:44:32 --> 00:44:34]  то есть все с вами вентабельность колоссальная.
[00:44:34 --> 00:44:39]  Потому что по сути мы берем на себя заработать и магазина и свой собственный.
[00:44:39 --> 00:44:44]  И это основной, так скажем, способ нормально зарабатывать.
[00:44:44 --> 00:44:47]  При условии, что мы немного производим.
[00:44:47 --> 00:44:48]  При небольших объемах.
[00:44:48 --> 00:44:52]  И, соответственно, если мы немного чеменьшим и производим,
[00:44:52 --> 00:44:57]  то есть мы можем контролировать по сути процесс приготовления.
[00:44:57 --> 00:45:00]  Потому что это более такой ручной труд получается.
[00:45:00 --> 00:45:06]  И, с точки зрения того, это как можно подготать антревиза.
[00:45:06 --> 00:45:07]  В течкой.
[00:45:07 --> 00:45:09]  Фиксируем изилок заодно.
[00:45:09 --> 00:45:11]  Это очень красивая штука.
[00:45:11 --> 00:45:13]  Она не сильно функциональная.
[00:45:13 --> 00:45:15]  Занем можно повешивать как бы кучу.
[00:45:15 --> 00:45:17]  Нужно, но это не цель сообразно.
[00:45:17 --> 00:45:20]  Она будет занимать большой пространство.
[00:45:20 --> 00:45:21]  И будет крутиться.
[00:45:21 --> 00:45:23]  Да, и будет соприкасаться с другими.
[00:45:23 --> 00:45:24]  Уже.
[00:45:24 --> 00:45:25]  Так, всё равно.
[00:45:25 --> 00:45:27]  Это вот такие мелочи и тонкости,
[00:45:27 --> 00:45:30]  но которые только на практике вы на работе.
[00:45:30 --> 00:45:31]  И эти больше никак.
[00:45:32 --> 00:45:34]  Соответственно, если пордачись магазина,
[00:45:34 --> 00:45:37]  там вентамюсь будет помешать, что 50 рублей на килограмм.
[00:45:41 --> 00:45:43]  А вот у нас висит как раз здесь.
[00:45:43 --> 00:45:46]  Цель на мышечное продукция, деликатеска.
[00:45:46 --> 00:45:50]  Рёбра, грудинка, грудинка.
[00:45:50 --> 00:45:52]  Там у нас кусок грудинки лежит.
[00:45:52 --> 00:45:54]  Часков грудинки.
[00:45:54 --> 00:45:55]  Вот так вот подвесили.
[00:45:55 --> 00:45:57]  Один кусок у нас в обвязке.
[00:45:57 --> 00:45:58]  Шпагайте.
[00:45:58 --> 00:46:02]  Это у нас с рулька, сеточки, грудина.
[00:46:02 --> 00:46:03]  Вот.
[00:46:03 --> 00:46:05]  И вот эта корейка.
[00:46:05 --> 00:46:06]  По-моему, да.
[00:46:06 --> 00:46:08]  Влинных сок корейки, которые мы надеящее.
[00:46:08 --> 00:46:10]  Это кусок шейки.
[00:46:17 --> 00:46:20]  Начать мы вставляем шуб, самый толстый кусок у нас.
[00:46:20 --> 00:46:21]  Вот так вот.
[00:46:21 --> 00:46:22]  Серединку.
[00:46:22 --> 00:46:24]  Значит ставим температура.
[00:46:24 --> 00:46:26]  Давайте 40, как ядь сладно.
[00:46:26 --> 00:46:27]  Не поройте.
[00:46:27 --> 00:46:30]  В от температура внутри продук, нам нужно 20 градусов.
[00:46:30 --> 00:46:32]  Вентяна трея тоже на прогреве.
[00:46:32 --> 00:46:33]  На 100 не ставили.
[00:46:33 --> 00:46:35]  Обычно оставили 50-50.
[00:46:35 --> 00:46:36]  Нам же не нужно.
[00:46:36 --> 00:46:37]  Нужно, слишком быстро.
[00:46:37 --> 00:46:39]  Что в интервью продевел.
[00:46:39 --> 00:46:41]  Давайте 50-50 поставим.
[00:46:42 --> 00:46:44]  Процентах вентилятор.
[00:46:44 --> 00:46:47]  И, во время нас здесь не интересуют.
[00:46:47 --> 00:46:50]  Потому что мы будем о таком степературу продуктов.
[00:46:50 --> 00:46:52]  Внутри я два с градусов.
[00:46:52 --> 00:46:53]  Он с прогрелся уже.
[00:46:53 --> 00:46:54]  А, а?
[00:46:54 --> 00:46:56]  А, ну мы под тому, что подготовили.
[00:46:56 --> 00:46:57]  Да.
[00:46:57 --> 00:46:58]  20-30.
[00:46:58 --> 00:47:00]  Но у нас клубаса холодная.
[00:47:00 --> 00:47:02]  Найс задают все 3-х пока водотку.
[00:47:02 --> 00:47:03]  Сот прогрее.
[00:47:03 --> 00:47:05]  Запускаем.
[00:47:11 --> 00:47:16]  Вот так вот.
[00:47:16 --> 00:47:20]  Осословно, мы на прогреве закрываем.
[00:47:20 --> 00:47:25]  Это засловно, кому-то раз закрываем.
[00:47:25 --> 00:47:28]  Это что, кому-то закрываем.
[00:47:28 --> 00:47:33]  Сотвестном у нас весь все лаго,
[00:47:33 --> 00:47:35]  которого нас выделяется с продукта.
[00:47:35 --> 00:47:36]  Она остается внутри.
[00:47:36 --> 00:47:39]  И, с такой вот естественной условно-влажностью,
[00:47:39 --> 00:47:44]  мы хотим прогреть продукт внутри до 23-30 градусов.
[00:47:44 --> 00:47:47]  Сейчас у нас колбаса, когда будет готова,
[00:47:47 --> 00:47:48]  мы и колбасу тоже развеешь.
[00:47:48 --> 00:47:50]  Можно начинать развешивать.
[00:47:50 --> 00:47:51]  Развешивать уже, да?
[00:47:51 --> 00:47:52]  Я с орделик шпекачь.
[00:47:52 --> 00:47:54]  Висарделик нужно купер.
[00:47:54 --> 00:47:55]  Первое.
[00:47:55 --> 00:47:56]  Шпекачь.
[00:47:56 --> 00:47:58]  В общем, это как бы не совсем гомагенная структура.
[00:47:58 --> 00:47:59]  Качки.
[00:47:59 --> 00:48:00]  Шпекачки.
[00:48:00 --> 00:48:02]  Это типа крупная такая.
[00:48:02 --> 00:48:04]  Мне кажется, вот такая структура мяса.
[00:48:04 --> 00:48:07]  Нет, но в любом случае это продукт без копчения.
[00:48:07 --> 00:48:10]  Можно, конечно, и под копченные делать.
[00:48:10 --> 00:48:11]  Вот, да?
[00:48:11 --> 00:48:12]  Нет, да, да.
[00:48:12 --> 00:48:16]  Мы вот делали его на другом производстве.
[00:48:16 --> 00:48:18]  Вот.
[00:48:18 --> 00:48:23]  Во-первых, это копчение придает товарный вид.
[00:48:23 --> 00:48:26]  Они получают стакие золотистые.
[00:48:26 --> 00:48:28]  Но вкуса, копчение, они не ичивают.
[00:48:28 --> 00:48:29]  Ну, ничего страшного.
[00:48:29 --> 00:48:31]  Мы же для себя делаем.
[00:48:31 --> 00:48:36]  А вообще самое важное в сардельках и в докторской
[00:48:36 --> 00:48:38]  вареные в любой колбасе.
[00:48:38 --> 00:48:42]  Это получить имульсию из фарша.
[00:48:42 --> 00:48:45]  То есть фарша там максимально мелкий.
[00:48:45 --> 00:48:47]  Ну, это как магенная структура.
[00:48:47 --> 00:48:49]  Это наука такая целая.
[00:48:49 --> 00:48:52]  Да, там двух словах, ты я не как бы не расскажу.
